Name,Age,Nationality,Club,League,Position,MinutesPlayed,Goals,Assists,ShotsOnTarget,DribblesCompleted,PassAccuracy,Tackles,Interceptions,GoalsPer90,AssistsPer90,FutureStarScore
Alejandro Baena,23,Spain,Villarreal,La Liga,AM,2400,8,10,30,32,87,26,18,0.3,0.38,9.7
Dario Osorio,21,Chile,Midtjylland,Danish SL,RW,2200,10,8,34,48,81,16,12,0.41,0.33,12.23
El Chadaille Bitshiabu,19,France,RB Leipzig,Bundesliga,CB,1600,1,1,6,8,87,40,30,0.06,0.06,7.93
Abdoullah Ba,21,France,Sunderland,Championship,AM,2000,6,7,22,36,82,18,14,0.27,0.32,10.64
Omari Kellyman,19,England,Chelsea,Premier League,AM,1000,2,3,8,16,80,10,6,0.18,0.27,9.18
Kendry Paez,17,Ecuador,Chelsea,Premier League,AM,800,3,3,10,14,81,8,6,0.34,0.34,10.64
Claudio Echeverri,18,Argentina,Man City,Premier League,AM,1000,3,4,12,20,83,10,6,0.27,0.36,10.68
Joao Pedro,23,Brazil,Brighton,Premier League,CF,2400,12,7,44,30,82,16,12,0.45,0.26,9.48
Morgan Rogers,22,England,Aston Villa,Premier League,AM,2200,8,8,30,40,82,22,14,0.33,0.33,10.74
Noni Madueke,22,England,Chelsea,Premier League,RW,2200,10,6,40,44,81,14,10,0.41,0.25,11.17
Luka Sucic,22,Croatia,Real Sociedad,La Liga,CM,2000,5,6,20,18,85,34,24,0.23,0.27,8.27
Takefusa Kubo,24,Japan,Real Sociedad,La Liga,RW,2400,10,8,38,50,83,16,12,0.38,0.3,10.88
Santiago Gimenez,23,Mexico,Feyenoord,Eredivisie,CF,2200,16,5,56,18,79,14,10,0.65,0.2,8.62
Yeremy Pino,22,Spain,Villarreal,La Liga,RW,2000,8,6,30,34,82,14,10,0.36,0.27,10.12
Adam Hlozek,23,Czech Republic,Leverkusen,Bundesliga,CF,1600,6,5,24,20,80,14,8,0.34,0.28,8.07
Micky van de Ven,24,Netherlands,Tottenham,Premier League,CB,2500,3,2,10,16,89,54,40,0.11,0.07,6.52
Amadou Onana,24,Belgium,Aston Villa,Premier League,DM,2400,5,4,16,14,86,58,40,0.19,0.15,6.56
Josko Gvardiol,24,Croatia,Man City,Premier League,CB,2600,4,3,14,12,88,50,38,0.14,0.1,6.22
Vitinha,24,Portugal,PSG,Ligue 1,CM,2700,7,10,24,30,91,44,30,0.23,0.33,8.92
Igor Paixao,24,Brazil,Feyenoord,Eredivisie,LW,2600,12,14,42,60,83,18,14,0.42,0.48,12.37
Iliman Ndiaye,24,Senegal,Everton,Premier League,AM,2100,8,5,30,44,81,18,14,0.34,0.21,9.91
Geovany Quenda,17,Portugal,Sporting CP,Liga Portugal,RW,1400,3,5,14,30,80,12,8,0.19,0.32,11.72
Yankuba Minteh,20,Gambia,Brighton,Premier League,RW,1600,5,4,18,36,78,10,8,0.28,0.23,10.79
Francisco Conceicao,22,Portugal,Juventus,Serie A,RW,1900,6,8,24,46,81,12,10,0.28,0.38,11.26
Gabri Veiga,23,Spain,Al-Ahli,Saudi Pro League,CM,2400,10,7,38,26,85,40,28,0.38,0.26,9.0
Amine Gouiri,24,France,Rennes,Ligue 1,AM,2200,9,7,34,28,83,18,14,0.37,0.29,8.63
Youssef En-Nesyri,24,Morocco,Fenerbahce,Super Lig,CF,2200,14,4,48,16,77,14,10,0.57,0.16,7.5
Cher Ndour,20,Spain,Besiktas,Super Lig,CM,1800,3,5,12,16,84,38,26,0.15,0.25,8.75
Brenden Aaronson,24,USA,Union Berlin,Bundesliga,AM,2000,6,7,22,24,82,20,14,0.27,0.32,7.94
Caden Clark,22,USA,New York Red Bulls,MLS,CM,1600,4,6,14,18,83,28,20,0.23,0.34,8.3
Thiago Almada,24,Argentina,Lyon,Ligue 1,AM,2100,7,9,28,38,84,16,12,0.3,0.39,9.67
Facundo Buonanotte,20,Argentina,Leicester City,Championship,AM,1800,6,5,22,32,82,14,10,0.3,0.25,10.7
James McAtee,23,England,Man City,Premier League,AM,1200,4,3,14,18,84,12,8,0.3,0.23,7.85
Gianluca Busio,22,USA,Venezia,Serie A,CM,2000,3,5,12,14,84,34,24,0.14,0.23,7.46
Andrey Santos,21,Brazil,Strasbourg,Ligue 1,CM,1800,4,4,14,16,83,36,26,0.2,0.2,8.25
Julio Enciso,20,Paraguay,Brighton,Premier League,AM,1400,5,4,18,26,79,10,6,0.32,0.26,10.03
Oscar Mingueza,24,Spain,Celta Vigo,La Liga,RB,2200,3,6,10,14,84,40,30,0.12,0.25,6.46
Cher Ndour,20,Italy,Besiktas,Super Lig,CM,1800,3,4,12,14,84,36,24,0.15,0.2,8.45
Ben Doak,19,Scotland,Middlesbrough,Championship,RW,1600,5,6,18,34,79,10,8,0.28,0.34,11.37
Mohamed Simakan,24,France,RB Leipzig,Bundesliga,CB,2200,1,1,6,6,87,52,38,0.04,0.04,5.15
